#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               6               6      CASTOR_HAD  0.44600  0.44600  0.44600  0.44600   56000056
               -1               6               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000057
               -1               6               8      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000058
               -1               6               9      CASTOR_HAD  0.76400  0.76400  0.76400  0.76400   56000059
               -1               6              10      CASTOR_HAD  2.43410  2.43410  2.43410  2.43410   5600005A
               -1               6              11      CASTOR_HAD  1.77110  1.77110  1.77110  1.77110   5600005B
               -1               6              12      CASTOR_HAD  5.98590  5.98590  5.98590  5.98590   5600005C
               -1               6              13      CASTOR_HAD  3.76660  3.76660  3.76660  3.76660   5600005D
               -1               6              14      CASTOR_HAD  5.96230  5.96230  5.96230  5.96230   5600005E
               -1               7               1       CASTOR_EM  2.54440  2.54440  2.54440  2.54440   56000061
               -1               7               2       CASTOR_EM  3.51780  3.51780  3.51780  3.51780   56000062
               -1               7               3      CASTOR_HAD  3.00430  3.00430  3.00430  3.00430   56000063
               -1               7               4      CASTOR_HAD  2.34340  2.34340  2.34340  2.34340   56000064
               -1               7               5      CASTOR_HAD  3.81530  3.81530  3.81530  3.81530   56000065
               -1               7               6      CASTOR_HAD  1.76320  1.76320  1.76320  1.76320   56000066
               -1               7               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000067
               -1               7               8      CASTOR_HAD  0.43580  0.43580  0.43580  0.43580   56000068
               -1               7               9      CASTOR_HAD  0.61940  0.61940  0.61940  0.61940   56000069
               -1               7              10      CASTOR_HAD  2.84490  2.84490  2.84490  2.84490   5600006A
               -1               7              11      CASTOR_HAD  4.55420  4.55420  4.55420  4.55420   5600006B
               -1               7              12      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   5600006C
               -1               7              13      CASTOR_HAD  4.02220  4.02220  4.02220  4.02220   5600006D
               -1               7              14      CASTOR_HAD  4.93430  4.93430  4.93430  4.93430   5600006E
               -1               8               1       CASTOR_EM  3.74430  3.74430  3.74430  3.74430   56000071
               -1               8               2       CASTOR_EM  3.56040  3.56040  3.56040  3.56040   56000072
               -1               8               3      CASTOR_HAD  3.26990  3.26990  3.26990  3.26990   56000073
               -1               8               4      CASTOR_HAD  3.53180  3.53180  3.53180  3.53180   56000074
               -1               8               5      CASTOR_HAD  3.24490  3.24490  3.24490  3.24490   56000075
               -1               8               6      CASTOR_HAD  0.25320  0.25320  0.25320  0.25320   56000076
               -1               8               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000077
               -1               8               8      CASTOR_HAD  0.33340  0.33340  0.33340  0.33340   56000078
               -1               8               9      CASTOR_HAD  0.59750  0.59750  0.59750  0.59750   56000079
               -1               8              10      CASTOR_HAD  3.88190  3.88190  3.88190  3.88190   5600007A
               -1               8              11      CASTOR_HAD  4.70290  4.70290  4.70290  4.70290   5600007B
               -1               8              12      CASTOR_HAD  2.30920  2.30920  2.30920  2.30920   5600007C
               -1               8              13      CASTOR_HAD  3.85280  3.85280  3.85280  3.85280   5600007D
               -1               8              14      CASTOR_HAD  2.49450  2.49450  2.49450  2.49450   5600007E
               -1               9               1       CASTOR_EM  2.96300  2.96300  2.96300  2.96300   56000081
               -1               9               2       CASTOR_EM  3.62010  3.62010  3.62010  3.62010   56000082
               -1               9               3      CASTOR_HAD  2.73020  2.73020  2.73020  2.73020   56000083
               -1               9               4      CASTOR_HAD  2.93000  2.93000  2.93000  2.93000   56000084
               -1               9               5      CASTOR_HAD  2.20960  2.20960  2.20960  2.20960   56000085
               -1               9               6      CASTOR_HAD  1.14720  1.14720  1.14720  1.14720   56000086
               -1               9               7      CASTOR_HAD  0.00000  0.00000  0.00000  0.00000   56000087
               -1               9               8      CASTOR_HAD  0.22300  0.22300  0.22300  0.22300   56000088
               -1               9               9      CASTOR_HAD  0.49610  0.49610  0.49610  0.49610   56000089
               -1               9              10      CASTOR_HAD  2.20920  2.20920  2.20920  2.20920   5600008A
               -1               9              11      CASTOR_HAD  1.76170  1.76170  1.76170  1.76170   5600008B
               -1               9              12      CASTOR_HAD  2.17210  2.17210  2.17210  2.17210   5600008C
               -1               9              13      CASTOR_HAD  1.63620  1.63620  1.63620  1.63620   5600008D
               -1               9              14      CASTOR_HAD  2.60500  2.60500  2.60500  2.60500   5600008E
               -1              10               1       CASTOR_EM  2.39720  2.39720  2.39720  2.39720   56000091
               -1              10               2       CASTOR_EM  3.44710  3.44710  3.44710  3.44710   56000092
               -1              10               3      CASTOR_HAD  4.70880  4.70880  4.70880  4.70880   56000093
               -1              10               4      CASTOR_HAD  3.86330  3.86330  3.86330  3.86330   56000094
